Name;SalaryMin;SalaryMax;Added;Company;City;Remote;TechnologyStack;URL;ContractType;WebSite
Junior Software Engineer;4000;8000;3d ago;Comp S.A.;Warszawa;;['linux', 'python'];https://justjoin.it/offers/comp-s-a-junior-software-engineer;b2b;JustJoin.it
Jr Fullstack Developer (Python, React);;;4d ago;ALAB laboratoria;Warszawa;;['analytical thinking', 'communication skills'];https://justjoin.it/offers/alab-laboratoria-jr-fullstack-developer-python-react;b2b;JustJoin.it
Programista Python i C/C++;;;New;CYFROWY POLSAT S.A.;Warszawa;;['c', 'python'];https://justjoin.it/offers/cyfrowy-polsat-s-a-programista-python-i-c-c;permament;JustJoin.it
Software Support Engineer;;;1d ago;Qualtrics;Kraków, +2 locations;;['python', 'bash'];https://justjoin.it/offers/qualtrics-software-support-engineer-krakow;permament;JustJoin.it
P&G Future Female Leaders;;;2d ago;Procter & Gamble;Warszawa;;['cloud technology', 'product management'];https://justjoin.it/offers/procter-gamble-p-g-future-female-leaders-e3c08456-59e2-45c3-9add-9ec6b924727d;permament;JustJoin.it
Junior Python Developer;6000;10000;2d ago;Softax;Warszawa;;['xml', 'python'];https://justjoin.it/offers/softax-junior-python-developer-02913415-3f11-4c72-9092-084faf971013;permament;JustJoin.it
IT Leadership program;;;2d ago;GE HealthCare;Kraków;;[];https://justjoin.it/offers/ge-healthcare-it-leadership-program;permament;JustJoin.it
Junior Embedded Software Developer;15000;17000;3d ago;Bergman Engineering;Kraków, +4 locations;;['python', 'embedded systems'];https://justjoin.it/offers/bergman-engineering-junior-embedded-software-developer;permament;JustJoin.it
Junior Software Engineer;4000;8000;3d ago;Comp S.A.;Warszawa;;['linux', 'python'];https://justjoin.it/offers/comp-s-a-junior-software-engineer;permament;JustJoin.it
Software Developer;;;3d ago;Odoo;Ramillies;;['linux', 'js'];https://justjoin.it/offers/odoo-software-developer;permament;JustJoin.it
IT DEVELOPMENT PROGRAM;9000;9000;3d ago;Procter & Gamble;Warszawa;;['leadership', 'problem solving'];https://justjoin.it/offers/procter-gamble-it-development-program;permament;JustJoin.it
IT SUMMER INTERNSHIP IN WARSAW;7700;7700;3d ago;Procter & Gamble;Warszawa;;['leadership', 'english'];https://justjoin.it/offers/procter-gamble-it-summer-internship-in-warsaw;permament;JustJoin.it
Jr Fullstack Developer (Python, React);;;4d ago;ALAB laboratoria;Warszawa;;['analytical thinking', 'communication skills'];https://justjoin.it/offers/alab-laboratoria-jr-fullstack-developer-python-react;permament;JustJoin.it
Junior Python Developer;;;4d ago;NCPS SOLARIS UJ;Kraków;;['python', 'english'];https://justjoin.it/offers/ncps-solaris-uj-junior-python-developer;permament;JustJoin.it
Junior Data Engineer;;;4d ago;Alcon;Warszawa;;['python'];https://justjoin.it/offers/alcon-junior-data-engineer;permament;JustJoin.it
Data Scientist;4500;4500;9d ago;Program Kariera: staż w deepsense.ai;Warszawa;;['numpy', 'scikit-learn'];https://justjoin.it/offers/program-kariera-staz-w-deepsense-ai-intern-data-scientist-7c04aa3c-9db6-4f8e-8d32-d1d7ed3fbb0c;permament;JustJoin.it
Staż Python Software Engineer;4500;4500;9d ago;deepsense.ai (Program Kariera);Warszawa;Fully Remote;['machine learning', 'python'];https://justjoin.it/offers/deepsense-ai-program-kariera-staz-python-software-engineer-warszawa;permament;JustJoin.it
Junior Data Engineer;;;4d ago;Alcon;Warszawa;;['python'];https://justjoin.it/offers/alcon-junior-data-engineer;mandate_contract;JustJoin.it
Data Scientist;4500;4500;9d ago;Program Kariera: staż w deepsense.ai;Warszawa;;['numpy', 'scikit-learn'];https://justjoin.it/offers/program-kariera-staz-w-deepsense-ai-intern-data-scientist-7c04aa3c-9db6-4f8e-8d32-d1d7ed3fbb0c;mandate_contract;JustJoin.it
Staż Python Software Engineer;4500;4500;9d ago;deepsense.ai (Program Kariera);Warszawa;Fully Remote;['machine learning', 'python'];https://justjoin.it/offers/deepsense-ai-program-kariera-staz-python-software-engineer-warszawa;mandate_contract;JustJoin.it
Junior Software Engineer;4000;8000;3d ago;Comp S.A.;Warszawa;;['linux', 'python'];https://justjoin.it/offers/comp-s-a-junior-software-engineer;b2b;JustJoin.it
Jr Fullstack Developer (Python, React);;;4d ago;ALAB laboratoria;Warszawa;;['analytical thinking', 'communication skills'];https://justjoin.it/offers/alab-laboratoria-jr-fullstack-developer-python-react;b2b;JustJoin.it
